Key,en,de,reviewed
Brows,Brows,Augenbrauen,False
Ear,Ear,Ohr,False
Eye,Eye,Auge,False
Base Hair,Base Hair,Basishaar,False
Hair Bang >>,Hair Bang >>,Haarknall >>,False
Hair Bang ><,Hair Bang ><,Haarknall ><,False
Hair Bang <<,Hair Bang <<,Haarknall <<,False
Hair Shine,Hair Shine,Haarglanz,False
Hair Branch >>,Hair Branch >>,Haarzweig >>,False
Hair Branch <<,Hair Branch <<,Haarzweig <<,False
Hair Framing >>,Hair Framing >>,Haarrahmen >>,False
Hair Framing <<,Hair Framing <<,Haarrahmen <<,False
Hair Framing,Hair Framing,Haarrahmen,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Haar-Highlight 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Haar-Highlight 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Haar-Highlight 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Haar-Highlight 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Haar-Highlight 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Haar-Highlight 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Haar-Highlight 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Haar-Highlight 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Haar-Highlight 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Haar-Highlight 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Haar-Highlight 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Haar-Highlight 3 <<,False
Hair Side,Hair Side,Haarseite,False
Hair Ahoge,Hair Ahoge,Haare Ahoge,False
Hair Rear,Hair Rear,Haare hinten,False
Hair Pigtail >>,Hair Pigtail >>,Haarzopf >>,False
Hair Pigtail <<,Hair Pigtail <<,Haarzopf <<,False
Animal Ear,Animal Ear,Tierohr,False
Antenna,Antenna,Antenne,False
Fin,Fin,Flosse,False
Gill,Gill,Kieme,False
Glasses,Glasses,Gläser,False
Hairband A,Hairband A,Haarband A,False
Hairband B,Hairband B,Haarband B,False
Hairband C,Hairband C,Haarband C,False
Hairband D,Hairband D,Haarband D,False
Hair Clip >>,Hair Clip >>,Haarspange >>,False
Hair Clip <<,Hair Clip <<,Haarspange <<,False
Halo,Halo,Halo,False
Hat,Hat,Hut,False
Ear Wing,Ear Wing,Ohrflügel,False
Horn,Horn,Horn,False
Horn Front ><,Horn Front ><,Horn vorne ><,False
Horn Front,Horn Front,Horn vorne,False
Mecha,Mecha,Mecha,False
Outfit Collar Inner,Outfit Collar Inner,Outfit-Kragen innen,False
Outfit Inner,Outfit Inner,Outfit innen,False
Outfit Outer,Outfit Outer,Äußeres Outfit,False
Outfit Neckwear A,Outfit Neckwear A,Outfit Krawatte A,False
Outfit Neckwear B,Outfit Neckwear B,Outfit Neckwear B,False
Outfit Neckwear C,Outfit Neckwear C,Outfit Krawatten C,False
Hair Side Branch >> A,Hair Side Branch >> A,Haarseitenzweig >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,Haarseitenzweig >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,Haarseitenzweig >> C,False
Hair Side Branch << A,Hair Side Branch << A,Haarseitenzweig << A,False
Hair Side Branch << B,Hair Side Branch << B,Haarseitenzweig << B,False
Hair Side Branch << C,Hair Side Branch << C,Haarseitenzweig << C,False
