Key,en,de,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Editor,False
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Sind Sie sicher, dass Sie das Zeichen „{0}“ löschen möchten? Diese Aktion kann nicht rückgängig gemacht werden.",False
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","Das Zeichen „{0}“ ist bereits vorhanden. Sind Sie sicher, dass Sie das Zeichen „{0}“ überschreiben möchten? Diese Aktion kann nicht rückgängig gemacht werden.",False
MainMenu.Confirm,Confirm,Bestätigen,False
MainMenu.Cancel,0Cancel,0Abbrechen,False
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Bitte geben Sie einen Charakternamen ein:,False
MainMenu.Editor.Model,Models,Modelle,False
MainMenu.Editor.Character,Character,Charakter,False
MainMenu.Editor.Animation,Animation,Animation,False
MainMenu.Editor.PartsSelection,Choose Parts,Wählen Sie Teile,False
MainMenu.Editor.PartsAdjustment,Adjustment,Einstellung,False
MainMenu.Search,Search...,Suchen...,False
MainMenu.Editor.SaveCharacter,Save Character,Charakter speichern,False
MainMenu.Editor.Unload,Clear Character,Klarer Charakter,False
MainMenu.Editor.DeleteCharacter,Delete Character,Charakter löschen,False
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Verwenden Sie benutzerdefinierte Texturen,False
MainMenu.Editor.ReloadTextures,Reload Textures,Texturen neu laden,False
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Öffnen Sie den Ordner „Benutzerdefinierte Texturen“.,False
MainMenu.Editor.Color,Color,Farbe,False
MainMenu.Editor.TintColor,TintColor,TintColor,False
MainMenu.Editor.TintBlackColor,TintBlackColor,TintBlackColor,False
MainMenu.Editor.LICENSE,LICENSE,LIZENZ,False
MainMenu.Editor.AssetTypeAA,Default Assets,Standardvermögen,False
MainMenu.Editor.AssetTypeSA,Third-Party Assets,Vermögenswerte Dritter,False
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,Der Name darf nicht leer sein.,False
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,Der Name darf nicht länger als {0} Zeichen sein.,False
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",Der Name darf das Zeichen „{0}“ nicht enthalten.,False
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.",„{0}“ ist ein reservierter Name und kann nicht verwendet werden.,False
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,Der Name darf nicht mit einem Punkt enden.,False
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,Der Name darf nicht nur Leerzeichen enthalten.,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Aktuelles Modell entladen,False
MainMenu.Settings.GeneralSettings,General Settings,Allgemeine Einstellungen,False
MainMenu.Settings.GeneralSettings.Language,Language,Sprache,False
MainMenu.Settings.ViewportSettings,Viewport Settings,Ansichtsfenstereinstellungen,False
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Zoomgeschwindigkeit,False
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Rotationsgeschwindigkeit,False
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Modellmaßstab,False
